round,algorithm,seed,test_accuracy,round_train_seconds,selected_clients,task_seeds,global_state_sha256,total_reset_slots,targeted_reset_slots,replaced_reset_slots,targeted_clients,fallback_clients,fallback_client_layers,history_memory_bytes,source_support_sha256,rng_unchanged,failed_client_updates
1,HistoryIdentityB0,1,10.0,18.29385769998771,"[80, 84, 33, 81, 93, 17, 36, 82, 69, 65]","[200001, 200998, 201995, 202992, 203989, 204986, 205983, 206980, 207977, 208974]",a54a841b1d8aaeb288f234a154b547d09329b79e22caa07bce35605dcd56155e,660,0,0,0,0,0,211200,,True,0
2,HistoryIdentityB0,1,13.229999542236328,9.920826300018234,"[44, 96, 1, 35, 26, 11, 38, 82, 87, 3]","[300004, 301001, 301998, 302995, 303992, 304989, 305986, 306983, 307980, 308977]",2194ac717a388eb692c5e8dbcfd4582c630ebbca68c3432af3aa44c25f01c179,660,0,0,0,0,0,401280,,True,0
3,HistoryIdentityB0,1,12.229999542236328,10.129570500022965,"[95, 67, 96, 71, 1, 80, 99, 45, 52, 27]","[400007, 401004, 402001, 402998, 403995, 404992, 405989, 406986, 407983, 408980]",464268fdecd2a7461cd6b6d423aeb6f70e76c845b2bdb10244a52cdd3f26ab5a,660,0,0,0,0,0,549120,,True,0
4,HistoryIdentityB0,1,16.290000915527344,10.950939900008962,"[40, 10, 96, 66, 89, 32, 95, 55, 25, 5]","[500010, 501007, 502004, 503001, 503998, 504995, 505992, 506989, 507986, 508983]",e22f19850d9ffd368150cc18dcfce18ed881198cdbb4732274eb2ba7b4f44ea6,660,0,0,0,0,0,718080,,True,0
5,HistoryIdentityB0,1,32.41999816894531,7.857208200002788,"[89, 99, 45, 96, 72, 9, 74, 88, 1, 38]","[600013, 601010, 602007, 603004, 604001, 604998, 605995, 606992, 607989, 608986]",dec108ab3bddc195ba215513fa42218f87170fb81aa3f55e61013047af4886ce,660,0,0,0,0,0,802560,,True,0
6,HistoryIdentityB0,1,17.6200008392334,11.903370099986205,"[0, 86, 4, 23, 24, 1, 62, 83, 66, 93]","[700016, 701013, 702010, 703007, 704004, 705001, 705998, 706995, 707992, 708989]",2a589299f75dc9f48b5bf8dc473cb0fb39c645bc9af3f2b430bd9e12c4cc3b78,660,0,0,0,0,0,950400,,True,0
7,HistoryIdentityB0,1,24.139999389648438,10.013586399989435,"[6, 59, 72, 30, 91, 43, 75, 76, 15, 61]","[800019, 801016, 802013, 803010, 804007, 805004, 806001, 806998, 807995, 808992]",8334d2af90c834b0ce15a5af328493a8d27a0f9bc380131c06d39f189d91a950,660,0,0,0,0,0,1140480,,True,0
8,HistoryIdentityB0,1,23.68000030517578,11.008618300023954,"[44, 88, 74, 48, 59, 79, 25, 52, 45, 55]","[900022, 901019, 902016, 903013, 904010, 905007, 906004, 907001, 907998, 908995]",0ac5b8aa96c895ebcb3079902ee2ce786b998f818a103b57cd0b0ad8f66979d5,660,0,0,0,0,0,1182720,,True,0
9,HistoryIdentityB0,1,30.1299991607666,11.356999699986773,"[3, 60, 35, 33, 22, 66, 45, 68, 67, 75]","[1000025, 1001022, 1002019, 1003016, 1004013, 1005010, 1006007, 1007004, 1008001, 1008998]",c39a40875e3ecaa80fa41e132e67e6c788407cc8faf11d2f66eeeca91e0fb7d4,660,0,0,0,0,0,1246080,,True,0
10,HistoryIdentityB0,1,29.729999542236328,13.110734300018521,"[64, 91, 12, 52, 16, 65, 50, 68, 33, 30]","[1100028, 1101025, 1102022, 1103019, 1104016, 1105013, 1106010, 1107007, 1108004, 1109001]",ef68434933199d80bb34ae08584a2e009f046e61f3635c49204e19e80e496515,660,0,0,0,0,0,1330560,,True,0
11,HistoryIdentityB0,1,38.22999954223633,13.544299400004093,"[54, 27, 23, 37, 75, 33, 41, 46, 52, 24]","[1200031, 1201028, 1202025, 1203022, 1204019, 1205016, 1206013, 1207010, 1208007, 1209004]",1df4f27e7c01ea33e7dac5834f33f86fbef5b1f212635254837d7bbe815636cb,660,0,0,0,0,0,1415040,,True,0
12,HistoryIdentityB0,1,36.90999984741211,10.57546039999579,"[54, 45, 28, 44, 15, 1, 93, 12, 88, 40]","[1300034, 1301031, 1302028, 1303025, 1304022, 1305019, 1306016, 1307013, 1308010, 1309007]",69f516a41de82d3c552c6771ea41db758dee008c7260acfdad1ad3dc91cfdf85,660,0,0,0,0,0,1436160,,True,0
13,HistoryIdentityB0,1,38.220001220703125,13.738429899996845,"[70, 75, 5, 68, 36, 79, 72, 78, 57, 44]","[1400037, 1401034, 1402031, 1403028, 1404025, 1405022, 1406019, 1407016, 1408013, 1409010]",7bc03e17d2d6ecd6d8aeeacde99452c651540a8cc851e6384a9187a84eebe014,660,0,0,0,0,0,1499520,,True,0
14,HistoryIdentityB0,1,46.650001525878906,10.865923400007887,"[41, 9, 30, 89, 40, 49, 3, 22, 8, 16]","[1500040, 1501037, 1502034, 1503031, 1504028, 1505025, 1506022, 1507019, 1508016, 1509013]",2dc67b248fee29d127c0a456fd2066ec4682a71e3ebb67b25e8debe70cc0d6b8,660,0,0,0,0,0,1541760,,True,0
15,HistoryIdentityB0,1,45.459999084472656,11.151959299982991,"[82, 28, 69, 81, 56, 71, 85, 27, 37, 66]","[1600043, 1601040, 1602037, 1603034, 1604031, 1605028, 1606025, 1607022, 1608019, 1609016]",bab4caa6987681d874f41e0f010ee2daf1e8f1dfa2463a4e6d9927566aa7a82b,660,0,0,0,0,0,1584000,,True,0
16,HistoryIdentityB0,1,46.720001220703125,10.106563200009987,"[60, 13, 26, 12, 1, 28, 88, 86, 11, 43]","[1700046, 1701043, 1702040, 1703037, 1704034, 1705031, 1706028, 1707025, 1708022, 1709019]",5aaf6b8fbd3dc5473d11060bd5ca7c12b5cd0aab470ffafdb0b47bf02161ce73,660,0,0,0,0,0,1605120,,True,0
17,HistoryIdentityB0,1,45.529998779296875,9.3336650999845,"[93, 16, 72, 75, 10, 4, 38, 71, 42, 62]","[1800049, 1801046, 1802043, 1803040, 1804037, 1805034, 1806031, 1807028, 1808025, 1809022]",32c9882c326a3283c5391d8b9bf1f28bca3f0b0e7110e3d035dd9a402ba1dc1a,660,0,0,0,0,0,1626240,,True,0
18,HistoryIdentityB0,1,35.709999084472656,10.543124100018758,"[36, 47, 1, 64, 57, 97, 29, 6, 67, 92]","[1900052, 1901049, 1902046, 1903043, 1904040, 1905037, 1906034, 1907031, 1908028, 1909025]",1799d2b8ebbb42025925aaa2e12b4a964c6df1f280d7816b1e79255f74185d58,660,0,0,0,0,0,1710720,,True,0
19,HistoryIdentityB0,1,44.220001220703125,11.347388900001533,"[48, 87, 17, 57, 22, 81, 4, 51, 94, 63]","[2000055, 2001052, 2002049, 2003046, 2004043, 2005040, 2006037, 2007034, 2008031, 2009028]",38a3c3b8af9a766b0cccbf47012eab40de45ec2be9bedb936228727d23583123,660,0,0,0,0,0,1774080,,True,0
20,HistoryIdentityB0,1,45.060001373291016,10.653063200006727,"[9, 17, 59, 11, 2, 95, 68, 28, 60, 14]","[2100058, 2101055, 2102052, 2103049, 2104046, 2105043, 2106040, 2107037, 2108034, 2109031]",18711ce1ba79affefda06755fcc3655af13b84372d1b823d6108fe3d26a90d9b,660,0,0,0,0,0,1816320,,True,0
21,HistoryIdentityB0,1,52.31999969482422,10.238177799998084,"[26, 25, 15, 93, 45, 54, 68, 90, 76, 10]","[2200061, 2201058, 2202055, 2203052, 2204049, 2205046, 2206043, 2207040, 2208037, 2209034]",b2d544f11c4c0e9e218a442dd5736517aba0e776497f592f1e29e278370ccacd,660,0,0,0,0,0,1837440,,True,0
22,HistoryIdentityB0,1,56.310001373291016,10.55989689999842,"[84, 74, 93, 1, 48, 44, 29, 26, 94, 75]","[2300064, 2301061, 2302058, 2303055, 2304052, 2305049, 2306046, 2307043, 2308040, 2309037]",4a42252c01ff8a668303c4684b039588af7a1a3db5def862a2ab07f38f1cf84b,660,0,0,0,0,0,1837440,,True,0
23,HistoryIdentityB0,1,49.59000015258789,10.431253899994772,"[71, 58, 50, 22, 59, 84, 10, 70, 43, 67]","[2400067, 2401064, 2402061, 2403058, 2404055, 2405052, 2406049, 2407046, 2408043, 2409040]",d399e4faad784888d02ca559e41a0833e071fc5d1668b43e4c938de32fd546c6,660,0,0,0,0,0,1858560,,True,0
